family,filename,map_path,astar_path_length,astar_cost,astar_expansions,mm_path_length,mm_cost,mm_expansions,cost_match,solvable_match
open,open_1.txt,maps/open/open_1.txt,35,34,172,35,34,256,True,True
open,open_2.txt,maps/open/open_2.txt,35,34,146,35,34,241,True,True
open,open_3.txt,maps/open/open_3.txt,35,34,142,35,34,275,True,True
open,open_4.txt,maps/open/open_4.txt,35,34,125,35,34,230,True,True
open,open_5.txt,maps/open/open_5.txt,35,34,129,35,34,256,True,True
bottleneck,bottleneck_1.txt,maps/bottleneck/bottleneck_1.txt,33,32,137,33,32,155,True,True
bottleneck,bottleneck_2.txt,maps/bottleneck/bottleneck_2.txt,33,32,134,33,32,217,True,True
bottleneck,bottleneck_3.txt,maps/bottleneck/bottleneck_3.txt,33,32,125,33,32,226,True,True
bottleneck,bottleneck_4.txt,maps/bottleneck/bottleneck_4.txt,33,32,149,33,32,227,True,True
bottleneck,bottleneck_5.txt,maps/bottleneck/bottleneck_5.txt,33,32,142,33,32,172,True,True
maze,maze_1.txt,maps/maze/maze_1.txt,43,42,57,43,42,76,True,True
maze,maze_2.txt,maps/maze/maze_2.txt,43,42,63,43,42,65,True,True
maze,maze_3.txt,maps/maze/maze_3.txt,45,44,76,45,44,81,True,True
maze,maze_4.txt,maps/maze/maze_4.txt,39,38,56,39,38,54,True,True
maze,maze_5.txt,maps/maze/maze_5.txt,45,44,62,45,44,62,True,True
